"","week","Adams","Asotin","Benton","Chelan","Clallam","Clark","Columbia","Cowlitz","Douglas","Ferry","Franklin","Garfield","Grant","Grays Harbor","Island","Jefferson","King","Kitsap","Kittitas","Klickitat","Lewis","Lincoln","Mason","Okanogan","Pacific","Pend Oreille","Pierce","San Juan","Skagit","Skamania","Snohomish","Spokane","Stevens","Thurston","Wahkiakum","Walla Walla","Whatcom","Whitman","Yakima"
"39",2020-10-11,0.85,1.90909090909091,1.24475524475524,0.973333333333333,1,0.952978056426332,NA,1.76,0.578947368421053,2,0.847222222222222,NA,0.825,1.02,0.615384615384615,0.4,0.983561643835616,1.06666666666667,1.01449275362319,0.6,0.951219512195122,1.33333333333333,0.636363636363636,0.714285714285714,0.411764705882353,0.457142857142857,1.13765182186235,NA,1,6,1.18918918918919,0.922204213938412,1.1,1.26229508196721,2,2.45454545454545,0.716417910447761,0.950704225352113,1.03100775193798
"40",2020-10-18,0.647058823529412,1.04761904761905,1.00561797752809,0.904109589041096,1.71428571428571,1.09539473684211,NA,0.522727272727273,0.954545454545455,0.5,1.25409836065574,0,0.565656565656566,1.23529411764706,2.125,2.5,1.28876508820799,1.046875,0.742857142857143,1,1.20512820512821,2.25,1.0952380952381,3.8,0.857142857142857,0.5,1.18683274021352,2,1.21052631578947,0.333333333333333,1.14256198347107,1.1792618629174,0.727272727272727,0.941558441558442,0,2.46296296296296,1.22916666666667,0.762962962962963,1.20300751879699
"41",2020-10-25,3.27272727272727,2.09090909090909,1.75977653631285,1.74242424242424,0.666666666666667,1.4984984984985,2.5,2.78260869565217,1.33333333333333,1,1.15686274509804,NA,1.42857142857143,0.587301587301587,0.705882352941177,0.6,1.44380403458213,2.28358208955224,0.846153846153846,1,1.1063829787234,0.777777777777778,1.1304347826087,1.26315789473684,0.5,1.5,1.15292353823088,1,1.34782608695652,0.5,1.11754068716094,1.25335320417288,2.875,1.23448275862069,NA,1.26315789473684,0.915254237288136,0.58252427184466,1.41875
"42",2020-11-01,2.30555555555556,1.47826086956522,1.78095238095238,1.60869565217391,2,1.67334669338677,0.4,1.96875,3.03571428571429,3,1.42937853107345,0.842105263157895,2.0625,2.10810810810811,1.5,3,1.57684630738523,1.42483660130719,1.15909090909091,4.33333333333333,1.51923076923077,0.714285714285714,1.76923076923077,0.5,13,1.33333333333333,1.58907672301691,2.5,2.48387096774194,2,1.88187702265372,1.59215219976219,1.43478260869565,1.63687150837989,0,1.54761904761905,1.92592592592593,1.7,1.1057268722467
"43",2020-11-08,1.75903614457831,1.09558823529412,1.25668449197861,1.51891891891892,2.8125,1.24670658682635,1.5,1.32539682539683,1.56470588235294,2,2.05533596837945,0.6875,1.7030303030303,1.08974358974359,2.02777777777778,2.55555555555556,1.39556962025316,1.08256880733945,1.33333333333333,1.07692307692308,1.63291139240506,7,0.934782608695652,1.91666666666667,1.15384615384615,1.25,1.43453355155483,2.6,1.54545454545455,5,1.20034393809114,1.34129947722181,1.65151515151515,1.33105802047782,NA,1.11538461538462,2.03846153846154,1.38235294117647,2.01195219123506
"44",2020-11-15,0.952054794520548,0.76510067114094,1.17304964539007,1.38790035587189,2.02222222222222,1.18251681075889,4,1.40119760479042,1.31578947368421,2.66666666666667,1.17884615384615,0.454545454545455,1.23843416370107,1.23529411764706,1.24657534246575,1.17391304347826,1.19591836734694,1.17372881355932,1.86764705882353,1.28571428571429,1.35658914728682,1.02857142857143,1.83720930232558,4.08695652173913,3.48888888888889,0.85,1.2937820878494,0.461538461538462,1.02941176470588,1.3,1.22636103151862,1.20768374164811,1.37614678899083,1.02564102564103,1.75,0.948275862068966,1.41981132075472,1.36170212765957,1.53069306930693
"45",2020-11-22,0.381294964028777,0.605263157894737,0.795646916565901,0.933333333333333,0.703296703296703,0.836718115353371,1.08333333333333,0.841880341880342,0.92,1.75,0.789559543230016,1,0.600574712643678,0.676190476190476,0.67032967032967,0.62962962962963,0.85930982176716,0.981949458483754,1.10236220472441,2,1.01714285714286,0.555555555555556,1.81012658227848,0.351063829787234,0.445859872611465,2.88235294117647,0.904320987654321,0.166666666666667,0.804081632653061,0.692307692307692,0.950934579439252,1,0.806666666666667,0.785,1.57142857142857,0.72,0.764119601328904,0.46875,0.852522639068564
"46",2020-11-29,1.67924528301887,1.33333333333333,1.33282674772036,1.03296703296703,1.1875,1.10776699029126,1.23076923076923,1.3502538071066,1.2111801242236,1.75,1.39256198347107,0.4,1.7511961722488,3.77464788732394,1.36065573770492,1.23529411764706,1.13834951456311,1.43014705882353,0.992857142857143,1.05555555555556,1.79775280898876,1.05,1.75524475524476,2.60606060606061,0.471428571428571,1.24489795918367,1.12579229644076,4,1.61928934010152,2.77777777777778,1.1529484029484,1.19271553711388,1.32231404958678,1.21974522292994,0.727272727272727,1.04040404040404,1.15652173913043,1.35555555555556,1.66464339908953
"47",2020-12-06,0.831460674157303,0.652173913043478,0.903078677309008,0.781914893617021,0.434210526315789,0.879929886064855,0.375,0.913533834586466,0.830769230769231,0.224489795918367,0.841246290801187,0,1.18306010928962,0.906716417910448,0.650602409638554,0.476190476190476,0.88776894747044,0.745501285347044,0.856115107913669,1.57894736842105,0.740625,0.80952380952381,0.649402390438247,1.22093023255814,1.06060606060606,0.672131147540984,0.896491987873538,1.75,0.871473354231975,0.6,0.919019712306873,0.894085813683804,0.6625,0.906005221932115,0.25,1.08252427184466,0.823308270676692,0.622950819672131,0.921604375569736
"48",2020-12-13,0.783783783783784,1.03333333333333,0.938131313131313,0.976190476190476,1.81818181818182,0.884462151394422,2.16666666666667,0.94238683127572,0.691358024691358,1.45454545454545,0.747795414462081,NA,0.907621247113164,2.22222222222222,0.814814814814815,0.9,0.860480349344978,0.913793103448276,1.27731092436975,0.683333333333333,1.08016877637131,0.529411764705882,1.04294478527607,1.12380952380952,0.885714285714286,1.09756097560976,0.901449275362319,0.142857142857143,0.827338129496403,1.4,0.906086956521739,0.872892347600519,0.867924528301887,1.02305475504323,1.5,2.20179372197309,0.995433789954338,1.46052631578947,1.34025717111771
"49",2020-12-20,0.448275862068966,0.612903225806452,0.620457604306864,0.696864111498258,0.716666666666667,0.790540540540541,0.307692307692308,0.685589519650655,0.982142857142857,0.5625,0.742924528301887,1.44444444444444,0.623409669211196,0.324074074074074,0.795454545454545,1.33333333333333,0.757421974118244,0.966037735849057,0.796052631578947,0.951219512195122,0.625,2,0.670588235294118,0.745762711864407,0.548387096774194,0.622222222222222,0.830653804930332,2,0.721739130434783,0.666666666666667,0.806142034548944,0.704309063893016,0.510869565217391,0.794366197183099,0.666666666666667,0.545824847250509,0.692660550458716,0.738738738738739,0.874538745387454
"50",2020-12-27,1.61538461538462,1.92105263157895,1.50542299349241,1.305,0.883720930232558,1.65669515669516,0.5,1.69426751592357,1.39090909090909,1,1.27936507936508,0.230769230769231,1.14285714285714,0.777142857142857,2.11428571428571,1.5,1.29212730318258,1.125,0.834710743801653,0.769230769230769,1.375,1.22222222222222,1.23684210526316,0.806818181818182,1.47058823529412,1.42857142857143,1.39096774193548,2.5,1.32530120481928,1.21428571428571,1.38174603174603,1.15822784810127,1.02127659574468,1.40780141843972,1.5,0.895522388059702,2.45033112582781,1.04878048780488,1.22362869198312
"51",2021-01-03,1,0.657534246575342,1.21181556195965,0.885057471264368,1.52631578947368,1.04127257093723,5,1.07894736842105,0.849673202614379,1.22222222222222,1.05210918114144,1,1.20357142857143,1.39705882352941,1.12162162162162,1.22222222222222,1.13222711952295,1.35763888888889,0.97029702970297,1.2,1.05,0.681818181818182,1.49645390070922,1.12676056338028,1.04,0.65,1.1317254174397,1.4,0.995454545454545,0.764705882352941,1.03101665709362,1.41347905282332,2.20833333333333,1.17884130982368,2.33333333333333,1.10833333333333,1.71081081081081,1.22093023255814,1.02896551724138
"52",2021-01-10,0.595238095238095,0.375,0.664684898929845,0.761904761904762,0.689655172413793,0.704376548307184,0.2,0.993031358885017,0.584615384615385,0.0909090909090909,0.674528301886792,1,0.869436201780415,0.589473684210526,0.506024096385542,0.818181818181818,0.67094114953057,0.636828644501279,0.602040816326531,0.722222222222222,0.974025974025974,0.733333333333333,0.450236966824645,0.875,0.807692307692308,0.846153846153846,0.680737704918033,0.571428571428571,0.831050228310502,1.23076923076923,0.623955431754875,0.675257731958763,0.509433962264151,0.773504273504274,0.857142857142857,0.669172932330827,0.872037914691943,0.780952380952381,0.640080428954424
"53",2021-01-17,1.24,1.16666666666667,0.817531305903399,0.8125,0.95,0.838218053927315,1.5,0.859649122807018,0.789473684210526,3,0.877622377622378,0.333333333333333,0.78839590443686,1.13392857142857,1.38095238095238,0.388888888888889,0.813310580204778,0.923694779116466,0.864406779661017,0.846153846153846,0.711111111111111,0.909090909090909,0.715789473684211,0.728571428571429,1,0.909090909090909,0.759783263094521,0.75,0.961538461538462,0.375,0.686607142857143,0.707379134860051,1.01851851851852,0.900552486187845,0.333333333333333,0.601123595505618,0.661231884057971,0.926829268292683,0.73717277486911
"54",2021-01-24,1.38709677419355,0.80952380952381,0.798687089715536,0.79020979020979,0.842105263157895,0.904895104895105,0.666666666666667,0.951020408163265,0.75,0.666666666666667,0.800796812749004,1,0.731601731601732,0.874015748031496,0.637931034482759,3.71428571428571,0.783466219051616,0.695652173913043,0.588235294117647,0.590909090909091,1.0125,0.9,0.764705882352941,0.392156862745098,1.04761904761905,0.8,0.708399366085578,2,0.828571428571429,1.16666666666667,0.957087126137841,0.820143884892086,1.07272727272727,0.711656441717791,3.5,1.01869158878505,1.06027397260274,0.776315789473684,1.00142045454545
"55",2021-01-31,0,0,0.0794520547945206,0.106194690265487,0.03125,0.0664605873261206,0.5,0.0128755364806867,0.0666666666666667,0,0.0746268656716418,0,0.029585798816568,0,0.027027027027027,0,0.0364220674879486,0.05625,0,0.0769230769230769,0.037037037037037,0,0.0384615384615385,0.1,0,0,0.0469798657718121,0,0.0344827586206897,0,0.0747282608695652,0.0537280701754386,0.0169491525423729,0.0172413793103448,0,0.0825688073394495,0.0310077519379845,0,0.0865248226950355
