county week total.cases
AsotinCounty 2020-07-05 0
BentonCounty 2020-07-05 520
ChelanCounty 2020-07-05 154
ClallamCounty 2020-07-05 16
ClarkCounty 2020-07-05 282
ColumbiaCounty 2020-07-05 1
CowlitzCounty 2020-07-05 93
DouglasCounty 2020-07-05 101
FerryCounty 2020-07-05 3
FranklinCounty 2020-07-05 394
GarfieldCounty 2020-07-05 2
GrantCounty 2020-07-05 194
GraysHarborCounty 2020-07-05 9
IslandCounty 2020-07-05 9
JeffersonCounty 2020-07-05 3
KingCounty 2020-07-05 1189
KitsapCounty 2020-07-05 68
KittitasCounty 2020-07-05 36
KlickitatCounty 2020-07-05 5
LewisCounty 2020-07-05 25
LincolnCounty 2020-07-05 0
MasonCounty 2020-07-05 14
OkanoganCounty 2020-07-05 112
PacificCounty 2020-07-05 1
PendOreilleCounty 2020-07-05 8
PierceCounty 2020-07-05 458
SanJuanCounty 2020-07-05 2
SkagitCounty 2020-07-05 74
SkamaniaCounty 2020-07-05 17
SnohomishCounty 2020-07-05 351
SpokaneCounty 2020-07-05 502
StevensCounty 2020-07-05 12
ThurstonCounty 2020-07-05 88
WahkiakumCounty 2020-07-05 0
WallaWallaCounty 2020-07-05 54
WhatcomCounty 2020-07-05 51
WhitmanCounty 2020-07-05 7
YakimaCounty 2020-07-05 667
AdamsCounty 2020-07-12 66
AsotinCounty 2020-07-12 0
BentonCounty 2020-07-12 306
ChelanCounty 2020-07-12 178
ClallamCounty 2020-07-12 5
ClarkCounty 2020-07-12 281
ColumbiaCounty 2020-07-12 1
CowlitzCounty 2020-07-12 65
DouglasCounty 2020-07-12 158
FerryCounty 2020-07-12 4
FranklinCounty 2020-07-12 315
GarfieldCounty 2020-07-12 0
GrantCounty 2020-07-12 138
GraysHarborCounty 2020-07-12 11
IslandCounty 2020-07-12 12
JeffersonCounty 2020-07-12 6
KingCounty 2020-07-12 1242
KitsapCounty 2020-07-12 116
KittitasCounty 2020-07-12 104
KlickitatCounty 2020-07-12 6
LewisCounty 2020-07-12 28
LincolnCounty 2020-07-12 2
MasonCounty 2020-07-12 20
OkanoganCounty 2020-07-12 273
PacificCounty 2020-07-12 7
PendOreilleCounty 2020-07-12 11
PierceCounty 2020-07-12 592
SanJuanCounty 2020-07-12 3
SkagitCounty 2020-07-12 84
SkamaniaCounty 2020-07-12 9
SnohomishCounty 2020-07-12 369
SpokaneCounty 2020-07-12 526
StevensCounty 2020-07-12 17
