"","week","Cluster Number","Cluster Size","Location IDs included","Overlap with clusters","Coordinates / radius","Gini Cluster","Population","Number of cases","Expected cases","Annual cases / 100000","Observed / expected","Relative risk","Log likelihood ratio","P-value"
"84",2020-03-22,"5",8,"GrantCounty, DouglasCounty, AdamsCounty, FranklinCounty, LincolnCounty, KittitasCounty, BentonCounty, ChelanCounty","6","(1.90055e+006,684059) / 375947.25","Yes","596831","290","133.63","2535.3","2.17","2.41","76.372739","< 0.00000000000000001"
"85",2020-03-22,"6",9,"ChelanCounty, DouglasCounty, KittitasCounty, SnohomishCounty, OkanoganCounty, KingCounty, SkagitCounty, GrantCounty, WhatcomCounty","5, 7","(1.61141e+006,924343) / 465581.51","No","3741857","592","837.81","825.5","0.71","0.55","72.166036","< 0.00000000000000001"
"86",2020-03-22,"7",3,"WhatcomCounty, SkagitCounty, SanJuanCounty","6","(1.30964e+006,1.27888e+006) / 284613.08","Yes","376034","19","84.20","263.6","0.23","0.22","38.203947","0.00000000000000056"
"87",2020-03-22,"8",5,"AsotinCounty, GarfieldCounty, ColumbiaCounty, WhitmanCounty, WallaWallaCounty","No Overlap","(2.47512e+006,330453) / 323200.20","Yes","139656","5","31.27","186.8","0.16","0.16","17.308509","0.00000069"
"88",2020-03-22,"9",3,"PendOreilleCounty, StevensCounty, FerryCounty","No Overlap","(2.4223e+006,1.18238e+006) / 302323.40","Yes","67074","2","15.02","155.6","0.13","0.13","9.035887","0.0028"
"89",2020-03-22,"10",2,"SkamaniaCounty, ClarkCounty","No Overlap","(1.28088e+006,254383) / 169418.69","Yes","500324","76","112.02","792.6","0.68","0.66","6.941902","0.020"
"90",2020-03-29,"1",1,"YakimaCounty","No Overlap","(1.58048e+006,409697) / 0","Yes","250873","720","59.04","14974.8","12.20","19.72","1285.887809","< 0.00000000000000001"
"91",2020-03-29,"2",12,"GraysHarborCounty, MasonCounty, PacificCounty, JeffersonCounty, ThurstonCounty, WahkiakumCounty, KitsapCounty, ClallamCounty, LewisCounty, PierceCounty, CowlitzCounty, IslandCounty","5, 7, 8","(812614,677769) / 483149.74","No","2021770","122","475.78","314.9","0.26","0.20","231.525319","< 0.00000000000000001"
"92",2020-03-29,"3",9,"ChelanCounty, DouglasCounty, KittitasCounty, SnohomishCounty, OkanoganCounty, KingCounty, SkagitCounty, GrantCounty, WhatcomCounty","6, 9","(1.61141e+006,924343) / 465581.51","No","3741857","514","880.56","716.7","0.58","0.42","155.297009","< 0.00000000000000001"
"93",2020-03-29,"4",2,"AdamsCounty, FranklinCounty","No Overlap","(2.12431e+006,607716) / 184314.37","Yes","115205","151","27.11","6838.9","5.57","5.99","139.883146","< 0.00000000000000001"
"94",2020-03-29,"5",7,"ClallamCounty, JeffersonCounty, SanJuanCounty, IslandCounty, MasonCounty, GraysHarborCounty, KitsapCounty","2","(801611,1.03148e+006) / 359191.29","Yes","625577","6","147.22","50.0","0.041","0.038","127.910910","< 0.00000000000000001"
"95",2020-03-29,"6",1,"SnohomishCounty","3","(1.34135e+006,991759) / 0","Yes","822083","67","193.46","425.2","0.35","0.32","60.289417","< 0.00000000000000001"
"96",2020-03-29,"7",5,"WahkiakumCounty, PacificCounty, CowlitzCounty, ThurstonCounty, LewisCounty","2","(899146,363108) / 282563.86","Yes","508795","27","119.73","276.9","0.23","0.21","55.044117","< 0.00000000000000001"
"97",2020-03-29,"8",1,"PierceCounty","2","(1.23248e+006,625805) / 0","Yes","904980","89","212.97","513.1","0.42","0.39","51.058346","< 0.00000000000000001"
"98",2020-03-29,"9",2,"SkagitCounty, WhatcomCounty","3","(1.32441e+006,1.15149e+006) / 128251.66","Yes","358452","32","84.35","465.8","0.38","0.37","22.131249","0.000000018"
"99",2020-03-29,"10",3,"PendOreilleCounty, StevensCounty, FerryCounty","No Overlap","(2.4223e+006,1.18238e+006) / 302323.40","Yes","67074","0","15.78","0","0","0","15.854340","0.0000066"
"100",2020-04-05,"1",4,"ChelanCounty, DouglasCounty, KittitasCounty, SnohomishCounty","No Overlap","(1.61141e+006,924343) / 278350.57","No","990647","2","0.39","10.5","5.12","13.37","2.308833","0.439"
"101",2020-04-05,"2",5,"PierceCounty, ThurstonCounty, LewisCounty, KingCounty, KitsapCounty","No Overlap","(1.23248e+006,625805) / 253694.22","No","3800478","0","1.50","0","0","0","2.073956","0.544"
"102",2020-04-12,"1",4,"BentonCounty, FranklinCounty, WallaWallaCounty, YakimaCounty","No Overlap","(1.89069e+006,331893) / 319817.65","Yes","611245","1363","175.87","11634.9","7.75","18.86","2054.561930","< 0.00000000000000001"
